Word	Definition	Example
restitution	reparation; indemnification	He offered to make restitution for the window broken by his son.
restive	restlessly impatient; obstinately resisting control	Waiting impatiently in the line to see Santa Claus, even the best-behaved children grow restive and start to fidget.
restraint	controlling force	She dreamt of living an independent life, free of all restraints.
resumption	taking up again; recommencement	During the summer break, Don had not realized how much he missed university life: at the resumption of classes, however, he felt marked excitement and pleasure.
resurgent	rising again after defeat, etc	The resurgent nation surprised everyone by its quick recovery after total defeat.
resuscitate	revive	The lifeguard tried to resuscitate the drowned child by applying artificial respiration.
retain	keep; employ	Fighting to retain his seat in Congress, Senator Foghorn retained a new manager to head his reelection campaign.
retaliate	repay in kind (usually for bad treatment)	Fear that we will retaliate immediately deters our foe from attacking us.
retentive	holding; having a good memory	The pupil did not need to spend much time in study as he had a retentive mind.
reticent	reserved; uncommunicative; inclined to silence Hughes preferred reticent employees to loquacious ones, noting that the formers' dislike of idle chatter	might ensure their discretion about his affairs.
retinue	following; attendants	The queen's retinue followed her down the aisle.
retiring	modest; shy	Given Susan't retiring personality, no one expected her to take up public speaking; surprisingly enough, she became a star of the school debate team.
retort	quick, sharp reply	Even when it was advisable for her to keep her mouth shut, she was always ready with a retort.
retraction	withdrawal	He dropped his libel suit after the newspaper published a retraction of its statement.
retrench	cut down; economize	If they were to be able to send their children to college, they would have to retrench.
retribution	vengeance; compensation; punishment for offenses	The evangelist maintained that an angry deity would exact retribution from the sinners.
retrieve	recover; find and bring in	The dog was intelligent and quickly learned to retrieve the game killed by the hunter.
retroactive	taking effect before its enactment (as a law) or imposition (as a tax)	Because the new pension law was retroactive to the first of the year, even though Martha had retired in February she was eligible for the pension.
retrograde	go backwards; degenerate	Instead of advancing, our civilization seems to have retrograded in ethics and culture.
retrospective	looking back on the past	It is only when we become retrospective that we can appreciate the tremendous advances made during this century.
revelry	boisterous merrymaking	New Year's Eve is a night of revelry.
reverberate	echo; resound	The entire valley reverberated with the sound of the church bells.
reverent	respectful	His reverent attitude was appropriate in a house of worship.
reverie	daydream; musing	He was awakened from his reverie by the teacher's question.
revile	slander; vilify	He was avoided by all who feared that he would revile and abuse them if they displeased him.
revoke	cancel; retract	Repeat offenders who continue to drive under the influence of alcohol face having their driver's licenses permanently revoked.
revulsion	sudden violent change of feeling; negative reaction	Many people in this country who admired dictatorships underwent a revulsion when they realized what Hitler and Mussolini were trying to do.
rhapsodize	to speak or write in an exaggeratedly enthusiastic manner	She greatly enjoyed her Hawaiian vacation and rhapsodized about it for weeks.
rhetoric	art of effective communication; insincere or grandiloquent language	All writers, by necessity, must be skilled in rhetoric.
ribald	wanton; profane	He sang a ribald song that offended many of the more prudish listeners.
rider	amendment or clause added to a legislative bill	Senator Foghorn said he would support Senator Filibuster's tax reform bill only if Filibuster agreed to add an antipollution rider to the bill.
rife	abundant; current	In the face of the many rumors of scandal, which are rife at the moment, it is best to remain silent.
rift	opening; break	The plane was lost in the stormy sky until the pilot saw the city through a rift in the clouds.
rig	fix or manipulate	The ward boss was able to rig the election by bribing people to stuff the ballot boxes with ballots marked in his candidate's favor.
rigid	stiff and unyielding; strict; hard and unbending	By living with a man to whom she was not married, George Eliot broke Victorian society's most rigid rule of respectable behavior.
rigor	severity	Many settlers could not stand the rigors of the New England winters.
rile	vex; irritate; muddy	Red had a hair-trigger temper: he was an easy man to rile.
riveting	absorbing; engrossing	The reviewer described Byatt's novel Possession as a riveting tale: absorbed in the story, he had finished it in a single evening.
rivulet	small stream	As the rains continued, the trickle of water running down the hillside grew into a rivulet that threatened to wash away a portion of the slope.
robust	vigorous; strong	The candidate for the football team had a robust physique.
rococo	ornate; highly decorated	The rococo style in furniture and architecture, marked by scrollwork and excessive decoration, flourished during the middle of the eighteenth century.
roil	to make liquids murky by stirring up sediment; to disturb	Be careful when you pour not to roil the wine; if you stir up the sediment you'll destroy the flavor.
roseate	rosy; optimistic	I am afraid you will have to alter your roseate views in the light of the distressing news that has just arrived.
roster	list	They print the roster of players in the season's program.
rostrum	platform for speech-making; pulpit	The crowd murmured angrily and indicated that they did not care to listen to the speaker who was approaching the rostrum.
rote	repetition	He recited the passage by rote and gave no indication he understood what he was saying.
rotunda	circular building or hall covered with a dome	His body lay in state in the rotunda of the Capitol.
rotundity	roundness; sonorousness of speech	Washington Irving emphasized the rotundity of the governor by describing his height and circumference.
rousing	lively; stirring	"And now, let's have a rousing welcome for TV's own Roseanne Arnold, who'll lead us in a rousing rendition of 'The Star-Spangled Banner.'"
rout	stampede; drive out	The reinforcements were able to rout the enemy
rubble	fragments	Ten years after World War II, some of the rubble left by enemy bombings could still be seen.
rubric	title or heading (in red print); directions for religious ceremony; protocol	In ordaining the new priests, the bishop carefully observed all the rubrics for the ordination service.
ruddy	reddish; healthy-looking	His ruddy features indicated that he had spent much time in the open.
rudimentary	not developed; elementary	His dancing was limited to a few rudimentary steps.
rueful	regretful; sorrowful; dejected	The artist has captured the sadness of childhood in his portrait of the boy with the rueful countenance.
ruffian	bully; scoundrel	The ruffians threw stones at the police.
ruminate	chew the cud; ponder	We cannot afford to wait while you ruminate upon these plans.
rummage	ransack; thoroughly search	When we rummaged through the trunks in the attic, we found many souvenirs of our childhood days.
runic	mysterious; set down in an ancient alphabet	Tolkien's use of Old English words and inscriptions in the runic alphabet give The Lord of the Rings its atmosphere of antiquity.
ruse	trick; stratagem	You will not be able to fool your friends with such an obvious ruse.
rustic	pertaining to country people; uncouth	The backwoodsman looked out place in his rustic attire.
rusticate	banish to the country; dwell in the country	I like city life so much that I can never understand how people can rusticate in the suburbs.
ruthless	pitiless	The escaped convict was a dangerous and ruthless murderer.
saboteur	one who commits sabotage; destroyer of property	Members of the Resistance acted as saboteurs, blowing up train lines to prevent supplies from reaching the Nazi army.
saccharine	cloyingly sweet	She tried to ingratiate herself, speaking sweetly and smiling a saccharine smile.
sacrilegious	desecrating; profane	His stealing of the altar cloth was a very sacrilegious act.
sacrosanct	most sacred; inviolable	The brash insurance salesman invaded the sacrosanct privacy of the office of the president of the company.
sadistic	inclined to cruelty	If we are to improve conditions in this prison, we must first get rid of the sadistic warden.
saga	Scandinavian myth; any legend	This is a saga of the sea and the men who risk their lives on it.
sagacious	keen; shrewd; having insight	He is much too sagacious to be fooled by a trick like that.
sage	person celebrated for wisdom	Hearing tales of a mysterious Master of All Knowledge who lived in the hills of Tibet, Sandy was possessed with a burning desire to consult the legendary sage.
salacious	lascivious; lustful	Chaucer's monk is not pious but salacious, a teller of lewd tales and ribald jests.
salient	prominent	One of the salient features of that newspaper is its excellent editorial page.
saline	salty	The slightly saline taste of this mineral water is pleasant.
sallow	yellowish; sickly in color	We were disturbed by his sallow complexion, which was due to jaundice.
salubrious	healthful	Many people with hay fever move to more salubrious sections of the country during the months of August and September.
salutary	tending to improve; beneficial; wholesome	The punishment had a salutary effect on the boy, as he became a model student.
salvage	rescue from loss	All attempts to salvage the wrecked ship failed.
sanctimonious	displaying ostentatious or hypocritical devoutness	You do not have to be so sanctimonious to prove that you are devout.
sanction	approve; ratify	Nothing will convince me to sanction the engagement of my daughter to such a worthless young man.
sanguinary	bloody	The battle of lwo Jina was unexpectedly sanguinary with many casualties.
sanguine	cheerful; hopeful	Let us not be too sanguine about the outcome; something could go wrong.
sap	diminish; undermine	The element kryptonite had an unhealthy effect on Superman: it sapped his strength.
sarcasm	scornful remarks, stinging rebuke	His feelings were hurt by the sarcasm of his supposed friends.
sardonic	disdainful; sarcastic; cynical	The sardonic humor of nightclub comedians who satirize or ridicule patrons in the audience strikes some people as amusing and others as rude.
sartorial	pertaining to tailors	He was as famous for the sartorial splendor of his attire as he was for his acting.
sate	satisfy to the full; cloy	Its hunger sated, the lion dozed.
satellite	small body revolving around a larger one	During the first few years of the Space Age, hundreds of satellites were launched by Russia and the United States.
satiate	surfeit; satisfy fully	The guests, having eaten until they were satiated, now listened inattentively to the speakers.
satire	form of literature in which irony, sarcasm, and ridicule are employed to attack vice and folly	Gulliver's Travels, which is regarded by many as a tale for children, is actually a bitter satire attacking human folly.
satirical	mocking	The humor of cartoonists Gary Trudeau often is satirical; though the comments of the Doonesbury characters, Trudeau ridicules political corruption and folly.
saturate	soak	Their clothes were saturated by the rain.
saturnine	gloomy	Do not be misled by his saturnine countenance; he is not as gloomy as he looks.
satyr	half-human, half-bestial being in the court of Dionysus, portrayed as wanton and cunning	He was like a satyr in his lustful conduct.
saunter	stroll slowly	As we sauntered through the park, we stopped frequently to admire the spring flowers.
savant	scholar	Our faculty includes many worldfamous savants.
savor	enjoy; have a distinctive flavor, smell, or quality	Relishing his triumph, Costner especially savored the chagrin of the critics who had predicted his failure.
savory	tasty; pleasing, attractive, or agreeable	Julia Child's recipes enable amateur chefs to create savory delicacies for their guests.
scabbard	case for a sword blade; sheath	The drill master told the recruit to wipe the blood from his sword before slipping it back into the scabbard.
scad	a great quantity	Refusing Dave's offer to lend him a shirt, Phil replied, "No, thanks: I've got scads of clothes".
scaffold	temporary platform for workers; bracing framework; platform for execution	Before painting the house, the workers put up a scaffold to allow them to work on the second story.
scale	climb up; ascend	To locate a book on the top shelf of the stacks, Lee had to scale an exceptionally rickety ladder.
scanty	meager; insufficient	Thinking his helping of food was scanty, Oliver Twist asked for more.
scapegoat	someone who bears the blame for others	After the Challenger disaster, NASA searched for scapegoats on whom they could cast the blame.
scavenge	hunt through discarded materials for usable items; search, especially for food	If you need car parts that the dealers no longer stock, try scavenging for odd bits and pieces at the auto wreckers' yards.
scenario	plot outline; screenplay; opera libretto	Scaramouche startled the other actors in the commedia troupe when he suddenly departed from their customary scenario and began to improvise.
schematic	relating to an outline or diagram; using a system of symbols	In working out the solution to an analytical logic question, you may find it helpful to construct a simple schematic diagram illustrating the relationships between the items of information given in the question.
schism	division; split	Let us not widen the schism by further bickering.
scintilla	shred; least bit	You have not produced a scintilla of evidence to support your argument.
scintillate	sparkle; flash	I enjoy her dinner parties because the food is excellent and the conversation scintillates.
scoff	mock; ridicule	He scoffed at dentists until he had his first toothache.
scotch	stamp out; thwart; hinder	Heather tried to scotch the rumor that she had stolen her best friend's fiance.
scourge	lash; whip; severe punishment	They feared the plague and regarded it as a deadly scourge.
scruple	fret about; hesitate, for ethical reasons	Fearing that her husband had become involved in an affair, she did not scruple to read his diary.
scrupulous	conscientious; extremely thorough	I can recommend him for a position of responsibility for I have found him a very scrupulous young man.
scrutinize	examine closely and critically	Searching for flaws, the sergeant scrutinized every detail of the private's uniform.
scuffle	struggle confusedly; move off in a confused hurry	The twins briefly scuffled, wrestling to see which of them would get the toy. When their big brother yelled, "Let go of my Gameboy!" they scuffled off down the hall.
scurrilous	obscene; indecent	Your scurrilous remarks are especially offensive because they are untrue.
scurry	move briskly	The White Rabbit had to scurry to get to his appointment on time.
scurvy	despicable; contemptible	Peter Pan sneered at Captain Hook and his scurvy crew.
scuttle	sink	The sailors decided to scuttle their vessel rather than surrender it to the enemy.
seamy	sordid; unwholesome	In the Godfather, Michael Corleone is unwilling to expose his wife and children to the seamy side of his life as the son of a Mafia don.
sear	char or burn; brand	Accidentally brushing against the hot grill, she seared her hand badly.
seasoned	experienced	Though pleased with her new batch of rookies, the basketball coach wished she had a few more seasoned players on the team.
secession	withdrawal	The secession of the Southern states provided Lincoln with his first major problem after his inauguration.
seclusion	isolation; solitude	One moment she loved crowds; the next, she sought seclusion.
secrete	hide away or cache; produce and release a substance into an organism	The pack rat secretes odds and ends in its nest; the pancreas secretes insulin in the islets of Langerhans.
sectarian	narrow-minded; limited in scope	As university chaplain, she sought to address universal religious issues and not limit herself to mere sectarian concerns.
secular	worldly; not pertaining to church matters; temporal	The church leaders decided not interfere in secular matters.
sedate	composed; grave	The parents were worried because they felt their son was too quiet and sedate.
sedative	calming drug or influence	It is dangerous to drive after taking the sedative; it brings drowsiness.
sedentary	requiring sitting	Because he had a sedentary occupation, he decided to visit a gymnasium weekly.
sedition	resistance to authority; insubordination	His words, though not treasonous in themselves, were calculated to arouse thoughts of sedition.
sedulous	diligent	The young woman was so sedulous that she received a commendation for her hard work.
seedy	run-down; decrepit; disreputable	I would rather stay in dormitory lodgings in a decent youth hostel than have a room of my own in a seedy downtown hotel.
seemly	proper; appropriate	Lady Bracknell did not think it was seemly for Ernest to lack a proper family; no baby abandoned on a doorstep could grow up to marry her daughter.
seep	ooze; trickle	During the rainstorm, water seeped through the crack in the basement wall and damaged the floor boards.
seethe	be disturbed; boil	The nation was seething with discontent as the nobleman continued their arrogant ways.
seine	net for catching fish	When the shad run during the spring, you may see fishermen with seines along the banks of our coastal rivers.
seismic	pertaining to earthquakes	The Richter scale is a measurement of seismic disturbances.
semblance	outward appearance; guise	Although this book has a semblance of wisdom and scholarship, a careful examination will reveal many errors and omissions.
seminal	germinal; influencing future developments; related to seed or semen	Although Freud has generally been regarded as a seminal thinker who shaped the course of psychology, his psychoanalytic methods have come under attack recently.
seminary	school for training future ministers; secondary school, especially for young women	Sure of his priestly vocation, Terrence planned to pursue his theological training at the local Roman Catholic seminary.
senility	old age; feeble mindedness of old age	Most of the decisions are being made by the junior members of the company because of the senility of the president.
sensual	devoted to the pleasures of the senses; carnal; voluptous	I cannot understand what caused him to drop his sensual way of life and become so ascetic.
sensuous	pertaining to the physical senses; operating through the senses	He was stimulated by the sights, sounds and smells about him; he was enjoying his sensuous experience.
sententious	terse; concise; aphoristic	After reading so many redundant speeches, I find his sententious style particulary pleasing.
sentinel	sentry; lookout	Though camped in enemy territory, Bledsoe ignored the elementary precaution of posting sentinels around the encampment.
septic	putrid; producing putrefaction	The hospital was in such a filthy state that we were afraid that many of the patients would suffer from septic poisoning.
sepulcher	tomb	Annabel Lee was buried in a sepulcher by the sea.
sequester	retire from public life; segregate; seclude	Although he had hoped for a long time to sequester himself in a small community, he never was able to drop his busy round of activities in the city.
sere	parched; dry	After the unseasonably dry winter the Berkeley hills looked dusty and sere.
serendipity	gift for finding valuable or desirable things by accident; accidental good fortune or luck	Many scientific discoveries are a matter of serendipity: Newton was not sitting there thinking about gravity when the apple dropped on his head.
serenity	calmness; placidity	The serenity of the sleepy town was shattered by a tremendous explosion.
serpentine	winding; twisting	The car swerved at every curve in the serpentine road.
serrated	having a sawtoothed edge	The beech tree is one of many plants that have serrated leaves.
servile	slavish; cringing	Constantly fawning on his employer, humble Uriah Heap was a servile creature.
servitude	slavery; compulsory labor	Born a slave, Douglass resented his wife of servitude and plotted to escape to the North.
severance	division; partition; separation	The severance of church and state is a basic principle of our government.
severity	harshness; plainness	The newspapers disapproved of the severity of the sentence.
sextant	navigation tool used to determine a ship's latitude and longitude	Given a clear night, with the aid of his sextant and compass, he could keep the ship safely on course.
shackle	chain; fetter	The criminal's ankles were shackled to prevent his escape.
sham	pretend	He shammed sickness to get out of going to school.
shambles	slaughterhouse; scene of carnage	By the time the police arrived, the room was a shambles.
shard	fragment, generally of pottery	The archaeologist assigned several students the task of reassembling earthenware vessels from the shards he had brought back from the expedition.
sheaf	bundle of stalks of grain; any bundle of things tied together	The lawyer picked up a sheaf of papers as he rose to question the witness.
sheathe	place into a case	As soon as he recognized the approaching men, he sheathed his dagger and hailed them as friends.
sherbet	flavored dessert ice	I prefer raspberry sherbet to ice cream since it is less fattening.
shimmer	glimmer intermittently	The moonlight shimmered on the water as the moon broke through the clouds for a moment.
shirk	avoid (responsibility, work, etc.); malinger	Brian has a strong sense of duty; he would never shirk any responsibility.
shoddy	sham; not genuine; inferior	You will never get the public to buy such shoddy material.
shrew	scolding woman	No one wanted to marry Shakespeare's Kate because she was a shrew.
shrewd	clever; astute	A shrewd investor, he took clever advantage of the fluctuations of the stock market.
shun	keep away from	Cherishing his solitude, the recluse shunned the company of other human beings.
shunt	turn aside; divert; sidetrack	If the switchman failed to shunt the Silver Streak onto a side track, the train would plow right into Union Station.
shyster	lawyer using questionable methods	On L.A. Law, respectable attorney Brackman was horrified to learn that his newly discovered half brother was a cheap shyster.
sibling	brother or sister	We may not enjoy being siblings, but we cannot forget that we still belong to the same family.
sibylline	prophetic; oracular	Until their destruction by fire in 83 B.C., the sibylline books were often consulted by the Romans.
sidereal	relating to the stars	Although hampered by optical and mechanical flaws, the orbiting Hubble space telescope has relayed extraordinary images of distant sidereal bodies.
silt	sediment deposited by running water	The harbor channel must be dredged annually to remove the silt.
simian	monkeylike	Lemurs are nocturnal mammals and have many simian characteristics, although they are less intelligent than monkeys.
simile	comparison of one thing with another, using the word like or as	"My love is like a red, red rose" is a simile.
simper	smirk; smile affectedly	Complimented on her appearance, Stella self-consciously simpered.
simplistic	oversimplified	Though Jack's solution dealt adequately with one aspect of the problem, it was simplistic in failing to consider various complicating factors that might arise.
simulate	feign	He simulated insanity in order to avoid punishment for his crime.
sinecure	well-paid position with little responsibility	My job is no sinecure; I work long hours and have much responsibility.
sinewy	tough; strong and firm	The steak was too sinewy to chew
singular	unique; extraordinary; odd	Though the young man tried to understand Father William's singular behavior, he still found it odd that the old man incessantly stood on his head.
sinister	evil	We must defeat the sinister forces that seek our downfall.
sinuous	winding; bending in and out; not morally honest	The snake moved in a sinuous manner.
skeptic	doubter; person who suspends judgment until he has examined the evidence supporting a	point of view. In this matter, I am a skeptic; I want proof.
skiff	small, light sailboat or rowboat	Tom dreamed of owning an ocean-going yacht but had to settle for a skiff he could sail in the bay.
skimp	provide scantily; live very economically	They were forced to skimp on necessities in order to make their limited supplies last the winter.
skinflint	miser	The old skinflint refused to give her a raise.
skirmish	minor fight	Custer's troops expected they might run into a skirmish or two on maneuvers; they did not expect to face a major battle.
skittish	lively; frisky	She is as skittish as a kitten playing with a piece of string.
skulduggery	dishonest behavior	The investigation into municipal corruption turned up new instances of skulduggery daily.
skulk	move furtively and secretly	He skulked through the less fashionable sections of the city in order to avoid meeting any of his former friends.
slacken	slow up; loosen	As they passed the finish line, the runners slackened their pace.
slag	residue from smelting metal; dross; waste matter	The blast furnace had a special opening at the bottom to allow the workers to remove the worthless slag.
slake	quench; sate	When we reached the oasis, we were able to slake our thirst.
slander	defamation; utterance of false and malicious statements	Unless you can prove your allegations, your remarks constitute slander.
slapdash	haphazard; careless; sloppy	From the number of typos and misspellings I've found on it, it's clear that Mario proofread the report in a remarkably slapdash fashion.
sleazy	flimsy; unsubstantial	This is a sleazy fabric; it will not wear well.
sleeper	something originally of little value or importance that in time becomes very valuable	Unnoticed by the critics at its publication, the eventual Pulitzer Prize winner was a classic sleeper.
sleight	dexterity	The magician amazed the audience with his sleight of hand.
slight	insult to one's dignity; snub	Hypersensitive and ready to take offense at any discourtesy, Bertha was always on the lookout for real or imaginary slights.
slither	slip or slide	During the recent ice storm, many people slithered down this hill as they walked to the station.
sloth	laziness	Such sloth in a young person is deplorable; go to work!
sloth	slow-moving tree-dwelling mammal	Note how well the somewhat greenish coat of the sloth enables it to blend in with its arboreal surroundings.
slough	cast off	Each spring, the snake sloughs off its skin.
slovenly	untidy; slipshod	Such slovenly work habits will never produce good products.
sluggard	lazy person	"You are a sluggard, a drone, a parasite," the angry father shouted at his lazy son.
sluggish	slow; lazy; lethargic	After two nights without sleep, she felt sluggish and incapable of exertion.
sluice	artificial channel for directing or controlling the flow of water	In times of drought, this sluice enables farmers to obtain water for irrigation.
slur	insult to one's character or reputation; slander	Polls revealed that the front-runner's standing had been damaged by the slurs and innuendoes circulated by his opponent's staff.
smattering	slight knowledge	I don't know whether it is better to be ignorant of a subject or to have a mere smattering of information about it.
smirk	conceited smile	Wipe that smirk off your face!
smolder	burn without flame; be liable to break out at any moment	The rags smoldered for hours before they burst into flame.
snicker	half-stifled laugh	The boy could not suppress a snicker when the teacher sat on the tack.
snivel	run at the nose; snuffle; whine	Don't you come sniveling to me complaining about your big brother.
sobriety	moderation (especially regarding indulgence in alcohol); seriousness	Neither drunkards nor comics are noted for sobriety.
sodden	soaked; dull, as if from drink	He set his sodden overcoat near the radiator to dry.
sojourn	temporary stay	After his sojourn in Florida, he began to long for the colder climate of his native New England home.
solace	comfort in trouble	I hope you will find solace in the thought that all of us share your loss.
solder	repair or make whole by using a metal alloy	The plumber fixed the leak in the pipes by soldering a couple of joints from which water had been oozing.
solecism	construction that is flagrantly incorrect grammatically	I must give this paper a failing mark because it contains many solecisms.
solemnity	seriousness; gravity	The minister was concerned that nothing should disturb the solemnity of the marriage service.
solicit	request earnestly; seek	Knowing she needed to have a solid majority for the budget to pass, the mayor telephoned all the members of the city council to solicit their votes.
solicitous	worried, concerned	The employer was very solicitous about the health of her employees as replacements were difficult to get.
soliloquy	talking to oneself	The soliloquy is a device used by the dramatist to reveal a character's innermost thoughts and emotions.
solstice	point at which the sun is farthest from the equator	The winter solstice usually occurs on December 21.
solvent	able to pay all debts	By dint of very frugal living, he was finally able to become solvent and avoid bankruptcy proceedings.
somatic	pertaining to the body; physical	Why do you ignore the spiritual aspects and emphasize only the corporeal and the somatic ones?
somber	gloomy; depressing	From the doctor's grim expression, I could tell he had somber news.
somnambulist	sleepwalker	The most famous somnambulist in literature is Lady Macbeth; her monologue in the sleepwalking scene is one of the highlights of Shakespeare's play.
somnolent	half asleep	The heavy meal and the overheated room made us all somnolent and indifferent to the speaker.
sonorous	resonant	His sonorous voice resounded through the hall.
sophist	teacher of philosophy; quibbler; employer of fallacious reasoning	You are using all the devices of a sophist in trying to prove your case; your argument is specious.
sophistication	artificiality; unnaturalness; act of employing sophistry in reasoning	Sophistication is an acquired characteristic, found more frequently among city dwellers than among residents of rural areas.
sophistry	seemingly plausible but fallacious reasoning	Instead of advancing valid arguments, he tried to overwhelm his audience with a flood of sophistries.
sophomoric	immature; shallow	Your sophomoric remarks are a sign of your youth and indicate that you have not given much thought to the problem.
soporific	sleep producing	I do not need a sedative when I listen to one of his soporific speeches.
sordid	filthy; base; vile	The social worker was angered by the sordid housing provided for the homeless.
spangle	small metallic piece sewn to clothing for ornamentation	The thousands of spangles on her dress sparkled in the glare of the stage lights.
spartan	lacking luxury and comfort; sternly disciplined	Looking over the bare, unheated room with its hard cot, he wondered what he was doing in such spartan quarters. Only his spartan sense of duty kept him at his post.
spasmodic	fitful; periodic	The spasmodic coughing in the auditorium annoyed the performers.
spat	squabble; minor dispute	What had started out as a mere spat escalated into a full-blown argument.
spate	sudden flood	I am worried about the possibility of a spate if the rains do not diminish soon.
spatial	relating to space	It is difficult to visualize the spatial extent of our universe.
spatula	broad-bladed instrument used for spreading or mixing	The manufacturers of this frying pan recommended the use of a rubber spatula to avoid scratching the specially treated surface.
spawn	lay eggs	Fish ladders had to be built in the dams to assist the salmon returning to spawn in their native streams.
specious	seemingly reasonable but incorrect	Let us not be misled by such specious arguments.
spectral	ghostly	We were frightened by the spectral glow that filled the room.
spectrum	colored band produced when a beam of light passes through a prism	The visible portion of the spectrum includes red at one end and violet at the other.
spendthrift	someone who wastes money	Easy access to credit encourages people to turn into spendthrifts who shop till they drop.  193. sphinx-like enigmatic; mysterious The Mona Lisa's sphinx-like expression has puzzled art lovers for centuries.
splice	fasten together; unite	Before you splice two strips of tape together, be sure to line them up evenly.
spontaneity	impulsiveness; absence of premeditation	What I liked best about Dale's parties was their spontaneity: a couple of friends would drop by, someone would pull out a fiddle or guitar, and before you knew it the party would be in full swing.
spoonerism	accidental transposition of sounds in sucessive words	When the radio announcer introduced the President as Hoobert Herver, he was guilty of spoonerism.
sporadic	occurring irregularly	Although there are still sporadic outbursts of shooting in the streets, the rebellion is essentially over.
sportive	playful	Such a sportive attitude is surprising in a person as serious as you usually are.
spruce	neat and trim	Every button buttoned, tie firmly in place, young Alex Keaton looked spruce and tidy for his job interview at the bank.
spry	vigorously active; nimble	She was eighty years old, yet still spry and alert.
spurious	false; counterfeit; forged; illogical	The hero of Jonathan Gash's mystery novels is an antique dealer who gives the reader advice on how to tell spurious antiques from the real things.
spurn	reject; scorn	The heroine spurned the villain's advances.
squabble	minor quarrel; bickering	Children invariably get involved in petty squabbles; wise parents know when to interfere and when to let the children work things out on their own.
squalid	dirty; neglected; poor	It is easy to see how crime can breed in such a squalid neighborhood.
squander	waste	The prodigal son squandered the family estate.
squat	stocky; short and thick	Tolkien's hobbits are somewhat squat, sturdy little creatures, fond of good ale, good music, and good food.
staccato	played in an abrupt manner; marked by abrupt, sharp sound	His staccato speech reminded one of the sound of a machine gun.
stagnant	motionless; stale; dull	The stagnant water was a breeding ground for disease
staid	sober; sedate	Her conduct during the funeral ceremony was staid and solemn.
stalemate	deadlock	Negotiations between the union and the employers have reached a stalemate; neither side is willing to budge from previously stated positions.
stalwart	strong, brawny; steadfast	His consistent support of the party has proved that he is a stalwart and loyal member.
stamina	strength; staying power	I doubt that she has the stamina to run the full distance of the marathon race.
stanch	check flow of blood	It is imperative that we stanch the gushing wound before we attend to the other injuries.
stanza	division of a poem	Do you know the last stanza of "The Star-Spangled Banner"?
static	unchanging; lacking development	Nothing had changed at home; things were static there
statute	law	We have many statutes in our law books which should be repealed.
statutory	created by statute or legislative action	The judicial courts review and try statutory crimes.
steadfast	loyal; unswerving	Penelope was steadfast in her affections, faithfully waiting for Ulysses to return from his wanderings.
stealth	slyness; sneakiness; secretiveness	Fearing detection by the sentries on duty, the scout inched his way toward the enemy camp with great stealth.
steep	soak; saturate	Be sure to steep the fabric in the dye bath for the full time prescribed.
stellar	pertaining to the stars	He was the stellar attraction of the entire performance.
stem	check the flow	The paramedic used a tourniquet to stem the bleeding from the slashed artery.
stemfrom	arise from	Milton's problems in school stemmed from his poor study habits.
stentorian	extremely loud	The town crier had stentorian voice.
stickler	perfectionist; person who insists things be exactly right	The Internal Revenue Service agent was a stickler for accuracy; no approximations or rough estimates would satisfy him.
stifle	suppress; extinguish; inhibit	Halfway through the boring lecture, Laura gave up trying to stifle her yawns.
stigma	token of disgrace; brand	I do not attach any stigma to the fact that you were accused of this crime; the fact that you were acquitted clears you completely.
stilted	bombastic; stiffly pompous	His stilted rhetoric did not impress the college audience; they were immune to bombastic utterances.
stint	be thrifty; set limits	"Spare no expense," the bride's father said, refusing to stint on the wedding arrangements.
stint	supply; allotted amount; assigned portion of work	He performed his daily stint cheerfully and willingly.
stipend	pay for services	There is a nominal stipend for this position.
stipple	paint or draw with dots	Seurat carefully stippled dabs of pure color on the canvas, juxtaposing dots of blue and yellow that the viewer's eye would interpret as green.
stipulate	make express conditions, specify	Before agreeing to reduce American military forces in Europe, the president stipulated that NATO teams be allowed to inspect Soviet bases.
stodgy	stuffy; boringly conservative	For a young person, Winston seems remarkably stodgy: you'd expect someone of his age to have a little more life.
stoic	person who is indifferent to pleasure or pain	The doctor called her patient a stoic because he had borne the pain of the examination without whimpering.
stoke	stir up a fire; feed plentifully	As a Scout, Marisa learned how to light a fire, how to stoke it if it started to die down, and how to extinguish it completely.
stolidity	dullness; impassivenss	The earthquake shattered his usual stolidity; trembling, he crouched on the no longer stable ground.
stratified	divided into classes; arranged into strata	As the economic gap between the rich and the poor increased, Roman society grew increasingly stratified.
stratum	layer of earth's surface; layer of society	Unless we alleviate conditions in the lowest stratum of our society, we may expect grumbling and revolt.
streotyped	oversimplified; lacking individuality; seen as a type	My chief objection to the book is that the characters are stereotyped; they come across as ethnic caricatures, not as real people with individual quirks, fears, and dreams.
strew	spread randomly; sprinkle; scatter	Preceding the bride to the altar, the flower girl will strew rose petals along the aisle.
striated	marked with parallel bands; grooved	The glacier left many striated rocks.
stricture	critical comments; severe and adverse criticism	His strictures on the author's style are prejudiced and unwarranted.
strident	loud and harsh	She scolded him in a strident voice
stringent	binding; rigid	I think these regulations are too stringent.
strut	pompous walk	His strut as he marched about the parade ground revealed him for what he was: a pompous buffoon.
strut	supporting bar	The engineer calculated that the strut supporting the rafter needed to be reinforced.
studied	unspontaneous; deliberate; thoughtful	Given Jill's previous slights, Jack felt that the omission of his name from the guest list was a studied insult.
